current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-100.72007716074586,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-2.8803086429834366,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-7.521234571933746,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-26.084938287734985,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-100.33975315093994,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-1.3590126037597656,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-1.4360504150390625,"(3, 0)",Move accepted
"(3, 0)","(-1, 0)",-1,-1.74420166015625,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-2.976806640625,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-7.9072265625,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-27.62890625,"(2, 1)",Move accepted
"(2, 1)","(-1, 0)",-100,-106.515625,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 1)","(0, -1)",-1,-26.0625,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-100.25,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(1, 0)",-1,-1,"(3, 0)",Move accepted
