current_state,action,reward,"q(s, a)",next_state,additional_observation
"[0, 0]","(-1, 0)",-100,-100.84241104125977,"[0, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[0, 0]","(1, 0)",-1,-3.3696441650390625,"[1, 0]",Move accepted
"[1, 0]","(-1, 0)",-1,-9.47857666015625,"[0, 0]",Move accepted
"[0, 0]","(0, 1)",-1,-33.914306640625,"[0, 1]",Move accepted
"[0, 1]","(1, 0)",-100,-131.6572265625,"[0, 1]",Attempted to move into a wall or beyond the maze’s boundaries
"[0, 1]","(1, 0)",-100,-126.62890625,"[0, 1]",Attempted to move into a wall or beyond the maze’s boundaries
"[0, 1]","(1, 0)",-100,-106.515625,"[0, 1]",Attempted to move into a wall or beyond the maze’s boundaries
"[0, 1]","(0, 1)",-1,-26.0625,"[0, 2]",Move accepted
"[0, 2]","(0, 1)",-100,-100.25,"[0, 2]",Attempted to move into a wall or beyond the maze’s boundaries
"[0, 2]","(1, 0)",-1,-1,"[1, 2]",Move accepted
