current_state,action,reward,"q(s, a)",next_state,additional_observation
"[0, 0]","(-1, 0)",-100,-106.93172073364258,"[0, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[0, 0]","(1, 0)",-1,-27.726882934570312,"[1, 0]",Move accepted
"[1, 0]","(0, -1)",-100,-106.90753173828125,"[1, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[1, 0]","(-1, 0)",-1,-27.630126953125,"[0, 0]",Move accepted
"[0, 0]","(0, -1)",-100,-106.5205078125,"[0, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[0, 0]","(1, 0)",-1,-26.08203125,"[1, 0]",Move accepted
"[1, 0]","(0, 1)",-100,-100.328125,"[1, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[1, 0]","(1, 0)",-1,-1.3125,"[2, 0]",Move accepted
"[2, 0]","(1, 0)",-1,-1.25,"[3, 0]",Move accepted
"[3, 0]","(-1, 0)",-1,-1,"[2, 0]",Move accepted
