current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-9.170429229736328,"[1, 0]",Move accepted
"(1, 0)","(-1, 0)",-1,-32.68171691894531,"[0, 0]",Move accepted
"(0, 0)","(-1, 0)",-100,-126.72686767578125,"[0, 0]",Attempted to move into a wall or beyond the maze�s boundaries
"(0, 0)","(0, -1)",-100,-106.907470703125,"[0, 0]",Attempted to move into a wall or beyond the maze�s boundaries
"(0, 0)","(1, 0)",-1,-27.6298828125,"[1, 0]",Move accepted
"(1, 0)","(0, -1)",-100,-106.51953125,"[1, 0]",Attempted to move into a wall or beyond the maze�s boundaries
"(1, 0)","(1, 0)",-1,-26.078125,"[2, 0]",Move accepted
"(2, 0)","(0, -1)",-100,-100.3125,"[2, 0]",Attempted to move into a wall or beyond the maze�s boundaries
"(2, 0)","(0, 1)",-1,-1.25,"[2, 1]",Move accepted
"(2, 1)","(0, -1)",-1,-1,"[2, 0]",Move accepted
