current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-33.848297119140625,"[1, 0]",Move accepted
"(1, 0)","(0, 1)",-100,-131.3931884765625,"[1, 0]",Attempted to move into a wall or beyond the maze�s boundaries
"(1, 0)","(0, -1)",-100,-125.57275390625,"[1, 0]",Attempted to move into a wall or beyond the maze�s boundaries
"(1, 0)","(0, -1)",-100,-102.291015625,"[1, 0]",Attempted to move into a wall or beyond the maze�s boundaries
"(1, 0)","(-1, 0)",-1,-9.1640625,"[0, 0]",Move accepted
"(0, 0)","(0, 1)",-1,-32.65625,"[0, 1]",Move accepted
"(0, 1)","(-1, 0)",-100,-126.625,"[0, 1]",Attempted to move into a wall or beyond the maze�s boundaries
"(0, 1)","(-1, 0)",-100,-106.5,"[0, 1]",Attempted to move into a wall or beyond the maze�s boundaries
"(0, 1)","(0, 1)",-1,-26.0,"[0, 2]",Move accepted
"(0, 2)","(-1, 0)",-100,-100,"[0, 2]",Attempted to move into a wall or beyond the maze�s boundaries
