current_state,action,reward,next_state,additional_observation
"[0, 0]","(0, 1)",-1,"[0, 1]",Move accepted
"[0, 1]","(0, -1)",-1,"[0, 0]",Move accepted
"[0, 0]","(0, -1)",-100,"[0, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[0, 0]","(1, 0)",-1,"[1, 0]",Move accepted
"[1, 0]","(1, 0)",-1,"[2, 0]",Move accepted
"[2, 0]","(1, 0)",-1,"[3, 0]",Move accepted
"[3, 0]","(0, 1)",-100,"[3, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[3, 0]","(0, -1)",-100,"[3, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[3, 0]","(0, 1)",-100,"[3, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[3, 0]","(-1, 0)",-1,"[2, 0]",Move accepted
"[2, 0]","(0, -1)",-100,"[2, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[2, 0]","(0, -1)",-100,"[2, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[2, 0]","(1, 0)",-1,"[3, 0]",Move accepted
"[3, 0]","(0, 1)",-100,"[3, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[3, 0]","(1, 0)",-1,"[4, 0]",Move accepted
