current_state,action,reward,"q(s, a)",next_state,additional_observation
"[0, 0]","(0, 1)",-1,-1.4541816711425781,"[0, 1]",Move accepted
"[0, 1]","(0, 1)",-1,-1.8167266845703125,"[0, 2]",Move accepted
"[0, 2]","(0, -1)",-1,-3.26690673828125,"[0, 1]",Move accepted
"[0, 1]","(0, -1)",-1,-9.067626953125,"[0, 0]",Move accepted
"[0, 0]","(1, 0)",-1,-32.2705078125,"[1, 0]",Move accepted
"[1, 0]","(0, 1)",-100,-125.08203125,"[1, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[1, 0]","(0, -1)",-100,-100.328125,"[1, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[1, 0]","(-1, 0)",-1,-1.3125,"[0, 0]",Move accepted
"[0, 0]","(0, 1)",-1,-1.25,"[0, 1]",Move accepted
"[0, 1]","(0, -1)",-1,-1,"[0, 0]",Move accepted
