current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-100.72647094726562,"[0, 0]",Attempted to move into a wall or beyond the maze�s boundaries
"(0, 0)","(1, 0)",-1,-2.9058837890625,"[1, 0]",Move accepted
"(1, 0)","(-1, 0)",-1,-7.62353515625,"[0, 0]",Move accepted
"(0, 0)","(1, 0)",-1,-26.494140625,"[1, 0]",Move accepted
"(1, 0)","(0, -1)",-100,-101.9765625,"[1, 0]",Attempted to move into a wall or beyond the maze�s boundaries
"(1, 0)","(-1, 0)",-1,-7.90625,"[0, 0]",Move accepted
"(0, 0)","(0, 1)",-1,-27.625,"[0, 1]",Move accepted
"(0, 1)","(-1, 0)",-100,-106.5,"[0, 1]",Attempted to move into a wall or beyond the maze�s boundaries
"(0, 1)","(0, -1)",-1,-26.0,"[0, 0]",Move accepted
"(0, 0)","(-1, 0)",-100,-100,"[0, 0]",Attempted to move into a wall or beyond the maze�s boundaries
