current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-26.113547209650278,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-100.45418883860111,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-1.8167553544044495,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-3.267021417617798,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-9.068085670471191,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-32.272342681884766,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-125.08937072753906,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-100.35748291015625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-1.429931640625,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-1.7197265625,"(0, 1)",Move accepted
"(0, 1)","(0, 1)",-1,-2.87890625,"(0, 2)",Move accepted
"(0, 2)","(1, 0)",-1,-7.515625,"(1, 2)",Move accepted
"(1, 2)","(0, 1)",-1,-26.0625,"(1, 3)",Move accepted
"(1, 3)","(1, 0)",-100,-100.25,"(1, 3)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 3)","(0, -1)",-1,-1,"(1, 2)",Move accepted
