current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, 1)",-1,-7.931727904826403,"(0, 1)",Move accepted
"(0, 1)","(0, 1)",-1,-27.72691161930561,"(0, 2)",Move accepted
"(0, 2)","(-1, 0)",-100,-106.90764647722244,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(1, 0)",-1,-27.63058590888977,"(1, 2)",Move accepted
"(1, 2)","(0, -1)",-100,-106.52234363555908,"(1, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 2)","(0, 1)",-1,-26.089374542236328,"(1, 3)",Move accepted
"(1, 3)","(-1, 0)",-100,-100.35749816894531,"(1, 3)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 3)","(0, -1)",-1,-1.42999267578125,"(1, 2)",Move accepted
"(1, 2)","(1, 0)",-1,-1.719970703125,"(2, 2)",Move accepted
"(2, 2)","(0, -1)",-1,-2.8798828125,"(2, 1)",Move accepted
"(2, 1)","(0, -1)",-1,-7.51953125,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-26.078125,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-100.3125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-1.25,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-1,"(3, 0)",Move accepted
